City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
80,Tilichiki,RU,60.4667,166.1,38.57,80,92,1.05,overcast clouds
81,Kortkeros,RU,61.8106,51.5806,55.4,92,70,3.38,broken clouds
82,New Norfolk,AU,-42.7826,147.0587,40.66,89,100,1.88,overcast clouds
83,Edson,CA,53.5835,-116.4356,55.85,54,57,2.75,broken clouds
84,Ponta Do Sol,PT,32.6667,-17.1,69.01,82,66,16.53,light rain
85,Dalbandin,PK,28.8947,64.4101,78.75,12,1,6.11,clear sky
86,Baykit,RU,61.67,96.37,52.93,84,100,5.84,overcast clouds
87,Kahului,US,20.8947,-156.47,80.83,73,42,5.99,scattered clouds
88,Roebourne,AU,-20.7833,117.1333,62.02,84,100,22.77,overcast clouds
89,Bambous Virieux,MU,-20.3428,57.7575,72.21,66,55,17.52,light rain
90,Hofn,IS,64.2539,-15.2082,45.59,82,18,6.96,few clouds
91,Kamwenge,UG,0.1866,30.4539,61.99,98,100,1.97,light rain
92,Roura,GF,4.7263,-52.3274,76.96,88,75,0.0,broken clouds
93,Alofi,NU,-19.0595,-169.9187,78.69,94,40,1.14,scattered clouds
94,Bredasdorp,ZA,-34.5322,20.0403,57.58,64,99,18.79,overcast clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,33.1,81,100,6.42,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,35.28,76,73,8.9,broken clouds
97,Butaritari,KI,3.0707,172.7902,81.57,73,89,15.48,overcast clouds
98,Lavrentiya,RU,65.5833,-171.0,38.1,87,96,3.8,overcast clouds
99,Dingle,PH,10.9995,122.6711,76.17,84,100,5.28,overcast clouds
100,Tamandare,BR,-8.7597,-35.1047,77.83,87,100,7.18,overcast clouds
101,Olafsvik,IS,64.8945,-23.7142,50.09,74,82,12.19,broken clouds
102,Langsa,ID,4.4683,97.9683,74.26,96,90,2.73,overcast clouds
103,Provideniya,RU,64.3833,-173.3,41.67,81,100,0.47,overcast clouds
104,Krasnoselkup,RU,65.7,82.4667,37.36,79,4,19.64,clear sky
105,Balkanabat,TM,39.5108,54.3671,82.36,16,0,11.03,clear sky
106,Hasaki,JP,35.7333,140.8333,64.8,89,100,14.52,light rain
107,Singaraja,ID,-8.112,115.0882,78.96,80,11,1.63,few clouds
