City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Aksu,CN,2022-05-30 14:56:21,41.1231,80.2644,73.96,33,100,24.47
68,Oneonta,US,2022-05-30 14:55:27,42.4529,-75.0638,78.3,77,75,7.0
69,Cape Town,ZA,2022-05-30 14:55:29,-33.9258,18.4232,62.28,61,75,14.97
70,Yakima,US,2022-05-30 14:54:34,46.4665,-120.6678,54.55,55,100,3.0
71,Muana,BR,2022-05-30 14:56:21,-1.5283,-49.2167,84.92,69,51,7.09
72,Aleppo,SY,2022-05-30 14:56:22,36.25,37.5,97.68,10,0,15.97
73,Port Elizabeth,ZA,2022-05-30 14:56:22,-33.918,25.5701,64.69,45,0,9.22
74,Jamestown,US,2022-05-30 14:53:47,42.097,-79.2353,79.02,56,0,10.36
75,Hithadhoo,MV,2022-05-30 14:56:23,-0.6,73.0833,84.07,67,88,11.27
76,Salalah,OM,2022-05-30 14:56:23,17.0151,54.0924,82.85,82,9,7.4
77,Yerbogachen,RU,2022-05-30 14:56:23,61.2767,108.0108,50.13,61,30,2.3
78,Carnarvon,AU,2022-05-30 14:56:24,-24.8667,113.6333,70.27,39,100,20.56
79,Portland,US,2022-05-30 14:53:26,45.5234,-122.6762,52.0,89,99,1.99
80,Calama,CL,2022-05-30 14:55:16,-22.4667,-68.9333,52.29,24,0,0.0
81,New Norfolk,AU,2022-05-30 14:56:25,-42.7826,147.0587,42.71,84,91,1.07
82,Hermanus,ZA,2022-05-30 14:56:25,-34.4187,19.2345,61.81,58,9,22.66
83,Kodiak,US,2022-05-30 14:56:25,57.79,-152.4072,45.91,93,100,0.0
84,Kaitangata,NZ,2022-05-30 14:56:26,-46.2817,169.8464,49.71,81,43,5.32
85,Bethel,US,2022-05-30 14:56:26,41.3712,-73.414,81.41,65,46,1.99
86,Pedasi,PA,2022-05-30 14:56:26,7.5333,-80.0333,77.92,87,100,9.48
87,Kosonsoy,UZ,2022-05-30 14:56:27,41.2561,71.5508,63.16,49,67,10.56
88,Palmer,US,2022-05-30 14:55:08,42.1584,-72.3287,81.64,52,35,1.01
89,Jilin,CN,2022-05-30 14:57:27,43.0,126.0,50.86,58,92,5.41
90,Tasiilaq,GL,2022-05-30 14:57:28,65.6145,-37.6368,38.39,93,93,5.19
91,Jega,NG,2022-05-30 14:57:28,12.2175,4.3792,102.74,25,12,6.91
92,Jumla,NP,2022-05-30 14:57:28,29.2747,82.1838,57.9,77,29,4.27
93,Mumford,GH,2022-05-30 14:57:29,5.2618,-0.759,82.04,75,27,9.22
94,Mednogorsk,RU,2022-05-30 14:57:29,51.4128,57.595,65.48,79,16,10.94
95,Tiksi,RU,2022-05-30 14:57:29,71.6872,128.8694,28.15,91,100,9.55
96,Narva-Joesuu,EE,2022-05-30 14:57:30,59.4589,28.0408,59.04,60,95,5.01
97,Lasa,IT,2022-05-30 14:57:30,46.6166,10.7002,59.36,94,97,2.26
98,Korosladany,HU,2022-05-30 14:57:30,46.9667,21.0833,65.98,65,94,3.89
99,Goderich,CA,2022-05-30 14:57:31,43.7501,-81.7165,73.72,64,61,13.8
100,Baruun-Urt,MN,2022-05-30 14:57:31,46.6806,113.2792,47.93,49,98,9.4
101,Sadasivpet,IN,2022-05-30 14:57:32,17.6212,77.9503,96.22,22,97,5.44
102,Aswan,EG,2022-05-30 14:54:14,24.0934,32.907,108.7,8,0,5.75
103,Moctezuma,MX,2022-05-30 14:57:32,29.8,-109.6667,77.02,32,0,6.67
104,Grindavik,IS,2022-05-30 14:57:32,63.8424,-22.4338,50.47,87,40,10.36
105,Klaksvik,FO,2022-05-30 14:57:33,62.2266,-6.589,47.32,93,100,16.55
106,Ostrovnoy,RU,2022-05-30 14:57:33,68.0531,39.5131,38.64,89,21,10.25
107,Anloga,GH,2022-05-30 14:57:33,5.7947,0.8973,83.03,73,39,11.92
108,Camacha,PT,2022-05-30 14:57:34,33.0833,-16.3333,69.22,68,20,19.57
109,La Ronge,CA,2022-05-30 14:57:17,55.1001,-105.2842,52.05,71,100,14.97
110,Inuvik,CA,2022-05-30 14:57:34,68.3499,-133.7218,32.86,93,100,8.05
111,Ahipara,NZ,2022-05-30 14:57:35,-35.1667,173.1667,60.55,91,6,8.86
112,Faanui,PF,2022-05-30 14:57:35,-16.4833,-151.75,79.93,67,81,10.13
113,Hambantota,LK,2022-05-30 14:57:35,6.1241,81.1185,79.14,100,40,8.05
114,San Patricio,US,2022-05-30 14:57:36,28.017,-97.5169,85.87,60,35,22.12
115,Ellenabad,IN,2022-05-30 14:57:36,29.45,74.65,96.26,5,0,7.96
116,Narsaq,GL,2022-05-30 14:57:36,60.9167,-46.05,42.71,73,100,5.19
117,Cidreira,BR,2022-05-30 14:57:37,-30.1811,-50.2056,57.56,72,91,11.81
118,Mandera,KE,2022-05-30 14:57:37,3.9366,41.867,87.55,42,79,15.39
119,Jati,PK,2022-05-30 14:57:37,24.3539,68.2671,85.91,65,0,19.77
120,Great Yarmouth,GB,2022-05-30 14:57:38,52.6083,1.7305,60.03,67,87,13.94
121,Ransang,PH,2022-05-30 14:57:38,8.9603,117.5828,80.31,82,100,3.22
122,Mataura,NZ,2022-05-30 14:57:38,-46.1927,168.8643,53.47,90,100,4.65
123,Lebu,CL,2022-05-30 14:57:39,-37.6167,-73.65,46.78,63,0,11.25
124,Beckley,US,2022-05-30 14:54:33,37.7782,-81.1882,78.08,70,1,1.99
125,Pingliang,CN,2022-05-30 14:57:39,35.5392,106.6861,64.76,40,100,4.18
126,East London,ZA,2022-05-30 14:57:39,-33.0153,27.9116,65.34,42,0,4.61
127,Saint-Francois,FR,2022-05-30 14:57:40,46.4154,3.9054,73.67,30,0,6.91
128,Baykit,RU,2022-05-30 14:57:40,61.67,96.37,56.26,66,100,1.12
129,El Alto,PE,2022-05-30 14:57:40,-4.2714,-81.2147,69.46,66,14,9.66
130,Sitka,US,2022-05-30 14:52:45,57.0531,-135.33,46.29,93,100,0.0
131,Saveh,IR,2022-05-30 14:57:41,35.0213,50.3566,86.95,11,2,15.57
132,Hede,CN,2022-05-30 14:57:41,33.7681,120.2517,64.56,43,42,7.65
133,Road Town,VG,2022-05-30 14:52:51,18.4167,-64.6167,86.04,70,40,11.5
134,Ketchikan,US,2022-05-30 14:57:42,55.3422,-131.6461,48.67,93,0,0.0
135,Port Blair,IN,2022-05-30 14:57:42,11.6667,92.75,80.64,83,75,3.44
136,Strangnas,SE,2022-05-30 14:58:42,59.3774,17.0312,59.29,57,99,4.88
137,Vakhtan,RU,2022-05-30 14:58:43,57.9659,46.6889,54.32,87,74,7.16
138,Udachnyy,RU,2022-05-30 14:58:43,66.4167,112.4,48.45,45,5,10.51
139,Biak,ID,2022-05-30 14:58:43,-0.9131,122.8766,77.65,84,86,1.74
140,Kankan,GN,2022-05-30 14:58:44,10.3854,-9.3057,96.39,33,45,4.18
141,Saint-Philippe,RE,2022-05-30 14:58:44,-21.3585,55.7679,72.99,70,21,11.68
142,Saldanha,ZA,2022-05-30 14:58:45,-33.0117,17.9442,62.65,56,0,7.99
143,Luebo,CD,2022-05-30 14:58:45,-5.35,21.4167,90.52,40,32,1.54
144,North Branch,US,2022-05-30 14:56:01,45.5113,-92.9802,68.13,96,100,14.25
145,Roma,US,2022-05-30 14:58:45,43.2128,-75.4557,78.73,67,82,4.9
146,Hobyo,SO,2022-05-30 14:58:46,5.3505,48.5268,80.22,77,30,27.34
147,Constitucion,CL,2022-05-30 14:58:46,-35.3333,-72.4167,47.98,49,0,2.48
148,Caramay,PH,2022-05-30 14:58:47,10.1815,119.236,77.68,87,100,1.3
149,Adrar,MR,2022-05-30 14:58:47,20.5022,-10.0711,103.03,11,7,6.71
150,Porvoo,FI,2022-05-30 14:58:47,60.3923,25.6651,69.06,51,25,5.32
151,Berlevag,NO,2022-05-30 14:58:48,70.8578,29.0864,49.8,71,4,16.11
152,Mporokoso,ZM,2022-05-30 14:58:48,-9.3727,30.125,70.92,50,99,2.08
153,Vanimo,PG,2022-05-30 14:58:48,-2.6741,141.3028,78.21,88,93,4.14
154,Qiryat Shemona,IL,2022-05-30 14:58:49,33.2073,35.5721,94.84,26,0,10.74
155,Hualmay,PE,2022-05-30 14:58:49,-11.0964,-77.6139,65.98,72,98,7.76
156,Bathsheba,BB,2022-05-30 14:58:49,13.2167,-59.5167,84.81,70,75,18.41
157,Havoysund,NO,2022-05-30 14:58:50,70.9963,24.6622,46.63,56,4,11.99
158,Half Moon Bay,US,2022-05-30 14:58:50,37.4636,-122.4286,58.86,74,0,9.22
159,Iberia,US,2022-05-30 14:58:50,29.9502,-91.7507,84.96,58,0,13.71
160,Olinda,BR,2022-05-30 14:58:51,-8.0089,-34.8553,78.53,89,75,3.44
161,Bezenchuk,RU,2022-05-30 14:58:51,52.982,49.4333,65.68,63,27,4.85
162,Malanje,AO,2022-05-30 14:58:51,-9.5402,16.341,82.67,31,5,5.93
163,Carutapera,BR,2022-05-30 14:58:52,-1.195,-46.02,86.5,62,25,6.46
