City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Coxim,BR,87.53,broken clouds,-18.5067,-54.76,Hotel Avenida
244,Mahibadhoo,MV,81.59,overcast clouds,3.7833,72.9667,Omadhoo Inn
245,Dondaicha,IN,82.99,clear sky,21.3333,74.5667,Mahavir Farm House
249,Waingapu,ID,77.13,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
250,Hobyo,SO,78.96,clear sky,5.3505,48.5268,Iftin hotel hobyo
254,Manta,EC,76.55,overcast clouds,-0.95,-80.7333,Balandra Hotel
258,Isangel,VU,77.59,few clouds,-19.55,169.2667,Tanna Lodge
259,Bandundu,CD,78.66,scattered clouds,-3.3167,17.3667,Coja Color
260,Conakry,GN,81.79,broken clouds,9.538,-13.6773,Riviera Royal Hotel
263,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
268,Vao,NC,76.15,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
269,Bandarbeyla,SO,79.9,overcast clouds,9.4942,50.8122,JABIR HOTEL
270,Panalingaan,PH,78.93,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
272,Cabo San Lucas,MX,88.11,clear sky,22.8909,-109.9124,Vista Roof Restaurant
285,Wanning,CN,79.68,broken clouds,18.8003,110.3967,Paradise Hotel
292,Gombong,ID,75.92,scattered clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
295,Kupang,ID,76.5,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
300,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
301,Pimenta Bueno,BR,87.19,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
303,Esqueda,MX,86.14,clear sky,30.7167,-109.5833,Hotel Esqueda
308,Duluth,US,80.08,few clouds,46.7833,-92.1066,South Pier Inn
314,Nantucket,US,77.14,clear sky,41.2835,-70.0995,Jared Coffin House
322,Tuy Hoa,VN,79.38,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
328,Bellavista,PE,89.82,clear sky,-7.0561,-76.5911,Hospedaje Bella Durmiente
330,Moundou,TD,79.95,scattered clouds,8.5667,16.0833,Planete Life
